================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
127.0.0.1:43478            <-> 127.0.0.1:60145                 33 7191 bytes      24 5342 bytes      57 12 kB        38.369175000        29.1750
192.168.1.16:46306         <-> 8.163.70.125:30146              29 13 kB          28 5412 bytes      57 18 kB        48.980943000        51.5129
192.168.1.16:42714         <-> 175.178.252.224:30176           27 12 kB          27 4967 bytes      54 17 kB        53.078807000        52.8342
192.168.1.16:48150         <-> 43.139.233.86:30139             26 10 kB          25 4878 bytes      51 15 kB        67.545751000        39.0921
192.168.1.16:48218         <-> 42.193.229.107:30122            27 13 kB          24 4968 bytes      51 17 kB        72.947644000        46.6193
192.168.1.16:46820         <-> 42.193.229.107:30122            23 12 kB          26 3060 bytes      49 15 kB        42.695201000        61.0587
192.168.1.16:41272         <-> 113.46.128.79:30164             23 12 kB          25 5504 bytes      48 17 kB        76.573222000        41.3409
192.168.1.16:46828         <-> 8.138.11.46:30176               22 6685 bytes      25 3056 bytes      47 9741 bytes    23.506692000        92.6469
127.0.0.1:45442            <-> 127.0.0.1:60139                 25 5696 bytes      20 4481 bytes      45 10 kB        11.584341000        30.2037
192.168.1.16:44764         <-> 8.163.70.125:30146              22 6714 bytes      23 3136 bytes      45 9850 bytes    19.015310000        92.0985
192.168.1.16:45338         <-> 8.148.243.225:30138             23 14 kB          22 4739 bytes      45 18 kB        51.163602000        21.2176
127.0.0.1:43030            <-> 127.0.0.1:31317                 24 3661 bytes      20 4784 bytes      44 8445 bytes     6.127026000       106.1136
192.168.1.16:39880         <-> 114.132.204.167:30139           20 13 kB          24 5491 bytes      44 18 kB        98.155057000        21.2710
192.168.1.16:41466         <-> 8.134.23.169:30138              24 12 kB          19 1368 bytes      43 13 kB         6.916631000       107.5293
127.0.0.1:45722            <-> 127.0.0.1:60145                 23 9992 bytes      20 5256 bytes      43 15 kB        87.942772000        12.0978
129.204.22.74:30145        <-> 192.168.1.16:41266              20 2528 bytes      21 2929 bytes      41 5457 bytes     2.543370000        85.4949
192.168.1.16:44890         <-> 47.113.219.60:6410              23 3589 bytes      18 4640 bytes      41 8229 bytes     6.128050000       106.1359
192.168.1.16:47392         <-> 8.163.70.125:30146              21 12 kB          20 2792 bytes      41 15 kB        70.092236000        41.0941
127.0.0.1:48014            <-> 127.0.0.1:60160                 22 8450 bytes      19 4619 bytes      41 13 kB        90.308228000        19.1129
192.168.1.16:41470         <-> 8.138.7.148:30160               21 2551 bytes      19 2636 bytes      40 5187 bytes     0.307309000       110.7229
127.0.0.1:43364            <-> 127.0.0.1:31317                 23 3075 bytes      17 4271 bytes      40 7346 bytes     4.349716000       114.9849
192.168.1.16:45224         <-> 47.113.219.60:6410              23 3075 bytes      17 4271 bytes      40 7346 bytes     4.350707000       115.0403
127.0.0.1:47058            <-> 127.0.0.1:60139                 21 8541 bytes      19 4354 bytes      40 12 kB        41.987000000        29.7999
192.168.1.16:49092         <-> 8.163.70.125:30146              21 12 kB          19 4692 bytes      40 16 kB       108.983949000         2.2807
114.132.204.167:30139      <-> 192.168.1.16:46432              15 3989 bytes      24 3181 bytes      39 7170 bytes    11.580827000       107.8216
114.132.204.167:30139      <-> 192.168.1.16:46430              20 1457 bytes      19 2082 bytes      39 3539 bytes    11.959384000        94.7206
192.168.1.16:38312         <-> 8.163.38.119:30138              18 10 kB          21 3851 bytes      39 14 kB        21.157875000        29.3577
127.0.0.1:42864            <-> 127.0.0.1:60145                 20 7433 bytes      19 4610 bytes      39 12 kB        27.942221000        72.8414
192.168.1.16:38836         <-> 120.232.234.97:443              20 7885 bytes      18 4978 bytes      38 12 kB        98.349327000         0.2520
192.168.1.16:40272         <-> 113.46.128.79:30164             18 6349 bytes      19 2551 bytes      37 8900 bytes    55.793874000        62.0660
127.0.0.1:47634            <-> 127.0.0.1:60176                 19 7032 bytes      17 3359 bytes      36 10 kB        53.509396000        55.8078
127.0.0.1:39042            <-> 127.0.0.1:60122                 19 6696 bytes      17 3431 bytes      36 10 kB        74.430890000        30.0613
127.0.0.1:46166            <-> 127.0.0.1:60146                 18 6640 bytes      17 3639 bytes      35 10 kB        48.980064000        30.0627
127.0.0.1:49950            <-> 127.0.0.1:60139                 18 7881 bytes      17 3820 bytes      35 11 kB       106.596637000        12.7924
127.0.0.1:43170            <-> 127.0.0.1:31317                 19 2666 bytes      14 3797 bytes      33 6463 bytes     7.825377000        95.7140
192.168.1.16:46584         <-> 8.138.17.204:5669               19 2666 bytes      14 3797 bytes      33 6463 bytes     7.826189000        95.7269
127.0.0.1:60139            <-> 127.0.0.1:43124                 12 2977 bytes      21 2169 bytes      33 5146 bytes    11.581823000       107.8100
127.0.0.1:49034            <-> 127.0.0.1:60122                 17 6479 bytes      16 4015 bytes      33 10 kB        14.428812000        72.7019
127.0.0.1:38092            <-> 127.0.0.1:60164                 17 7140 bytes      16 3755 bytes      33 10 kB        25.791019000        60.0651
139.159.218.87:30122       <-> 192.168.1.16:48512              16 1152 bytes      16 1152 bytes      32 2304 bytes     2.492922000       108.5386
192.168.1.16:47928         <-> 139.159.218.87:30122            16 1152 bytes      16 1152 bytes      32 2304 bytes     3.502965000       107.5314
192.168.1.16:41436         <-> 8.134.23.169:30138              16 1152 bytes      16 1152 bytes      32 2304 bytes     3.716094000       107.9012
106.52.37.241:30146        <-> 192.168.1.16:41448              16 1152 bytes      16 1152 bytes      32 2304 bytes     4.267888000       108.4735
8.134.23.169:30138         <-> 192.168.1.16:41444              16 1152 bytes      16 1152 bytes      32 2304 bytes     6.659203000       107.7857
106.52.37.241:30146        <-> 192.168.1.16:41444              16 1152 bytes      16 1152 bytes      32 2304 bytes     7.852624000       108.3018
192.168.1.16:44136         <-> 8.138.11.46:30176               16 1152 bytes      16 1152 bytes      32 2304 bytes     8.623473000       107.5449
129.204.22.74:30145        <-> 192.168.1.16:40940              16 1152 bytes      16 1152 bytes      32 2304 bytes    10.196912000       107.6662
8.134.85.51:30164          <-> 192.168.1.16:44620              16 1152 bytes      16 1152 bytes      32 2304 bytes    11.239547000       108.3235
8.138.11.46:30176          <-> 192.168.1.16:44130              16 1152 bytes      16 1482 bytes      32 2634 bytes    14.793549000       101.3579
127.0.0.1:49828            <-> 127.0.0.1:60138                 17 7604 bytes      15 3331 bytes      32 10 kB        51.162404000        13.0993
192.168.1.16:44088         <-> 175.178.252.224:30176           14 6061 bytes      17 2455 bytes      31 8516 bytes    83.335387000        31.1112
127.0.0.1:40982            <-> 127.0.0.1:60164                 15 6303 bytes      16 3771 bytes      31 10 kB        85.791830000        25.4444
127.0.0.1:48952            <-> 127.0.0.1:60146                 16 6423 bytes      15 3395 bytes      31 9818 bytes   108.982226000        10.2840
192.168.1.16:47930         <-> 139.159.218.87:30122            15 1080 bytes      15 1080 bytes      30 2160 bytes     0.089404000       107.5308
192.168.1.16:43682         <-> 42.193.229.107:30122            15 1080 bytes      15 1080 bytes      30 2160 bytes     0.089436000       107.5314
192.168.1.16:41472         <-> 8.138.7.148:30160               15 1080 bytes      15 1080 bytes      30 2160 bytes     0.089459000       107.5274
127.0.0.1:48430            <-> 127.0.0.1:60139                 16 4407 bytes      14 3012 bytes      30 7419 bytes    72.191222000        29.5997
192.168.1.16:42462         <-> 113.45.75.182:30145             14 7543 bytes      15 3711 bytes      29 11 kB       117.944107000         0.2653
129.204.22.74:30145        <-> 192.168.1.16:40944              14 1008 bytes      14 1008 bytes      28 2016 bytes    13.266151000        92.6467
127.0.0.1:48286            <-> 127.0.0.1:60138                 14 3176 bytes      13 2243 bytes      27 5419 bytes    21.161758000        13.5956
192.168.1.16:37632         <-> 193.112.105.63:30160            13 6002 bytes      14 1483 bytes      27 7485 bytes    30.328530000        10.0819
192.168.1.16:40522         <-> 139.159.146.137:7007            13 1364 bytes      14 1263 bytes      27 2627 bytes    59.625438000        12.4794
192.168.1.16:46452         <-> 8.134.111.16:30122              12 5930 bytes      15 2347 bytes      27 8277 bytes   103.556243000        16.0075
192.168.1.16:45530         <-> 43.139.233.86:30139             11 5870 bytes      15 1515 bytes      26 7385 bytes    16.633047000         0.1486
192.168.1.16:37282         <-> 8.163.38.119:30138              11 5565 bytes      14 1430 bytes      25 6995 bytes     0.746478000         0.0845
192.168.1.16:42778         <-> 8.148.243.225:30138             12 5619 bytes      13 1394 bytes      25 7013 bytes     0.933245000        10.0572
192.168.1.16:37630         <-> 113.46.128.79:30164             12 5622 bytes      13 1394 bytes      25 7016 bytes     5.172409000        10.0430
192.168.1.16:46832         <-> 8.138.11.46:30176               12 5622 bytes      13 1403 bytes      25 7025 bytes    23.547765000        10.0425
192.168.1.16:46002         <-> 8.163.70.125:30146              12 5619 bytes      13 1403 bytes      25 7022 bytes    39.560603000        10.0469
192.168.1.16:46822         <-> 42.193.229.107:30122            12 5619 bytes      13 1399 bytes      25 7018 bytes    42.737478000        10.0512
192.168.1.16:47156         <-> 43.139.233.86:30139             12 5619 bytes      13 1395 bytes      25 7014 bytes    47.384843000        10.0580
192.168.1.16:47246         <-> 42.193.229.107:30122            12 5619 bytes      13 1399 bytes      25 7018 bytes    52.821940000        10.0545
192.168.1.16:42672         <-> 175.178.252.224:30176           12 5622 bytes      13 1394 bytes      25 7016 bytes    53.034788000        10.0574
192.168.1.16:39844         <-> 113.45.75.182:30145             12 5622 bytes      13 1398 bytes      25 7020 bytes    58.607649000        10.0673
192.168.1.16:44516         <-> 8.134.111.16:30122              11 5870 bytes      14 1446 bytes      25 7316 bytes    62.507471000         0.0997
192.168.1.16:47388         <-> 8.163.70.125:30146              12 5619 bytes      13 1403 bytes      25 7022 bytes    70.042723000        10.0352
192.168.1.16:39598         <-> 193.112.105.63:30160            12 5622 bytes      13 1399 bytes      25 7021 bytes    70.705559000        10.0589
192.168.1.16:49018         <-> 43.139.233.86:30139             12 5619 bytes      13 1395 bytes      25 7014 bytes    87.784467000        10.0557
192.168.1.16:40436         <-> 193.112.105.63:30160            12 5622 bytes      13 1399 bytes      25 7021 bytes    90.870698000        10.0576
192.168.1.16:47700         <-> 8.148.243.225:30138             12 5930 bytes      13 1406 bytes      25 7336 bytes   102.927563000        10.0634
192.168.1.16:42770         <-> 8.148.243.225:30138             10 5493 bytes      14 1430 bytes      24 6923 bytes     0.821922000         0.0891
192.168.1.16:42776         <-> 8.148.243.225:30138             10 5493 bytes      14 1430 bytes      24 6923 bytes     0.904394000        10.0177
192.168.1.16:41460         <-> 8.134.111.16:30122              10 5493 bytes      14 1434 bytes      24 6927 bytes     2.004125000         0.0985
192.168.1.16:41466         <-> 8.134.111.16:30122              10 5493 bytes      14 1434 bytes      24 6927 bytes     2.095791000         0.1304
192.168.1.16:41474         <-> 8.134.111.16:30122              10 5493 bytes      14 1434 bytes      24 6927 bytes     2.129420000         0.0967
192.168.1.16:44650         <-> 42.193.229.107:30122            10 5493 bytes      14 1435 bytes      24 6928 bytes     2.216821000         9.8730
192.168.1.16:40074         <-> 175.178.252.224:30176           10 5496 bytes      14 1430 bytes      24 6926 bytes     2.849852000         0.2431
192.168.1.16:40076         <-> 175.178.252.224:30176           10 5496 bytes      14 1430 bytes      24 6926 bytes     2.894370000         0.1986
192.168.1.16:45744         <-> 8.138.11.46:30176               10 5496 bytes      14 1439 bytes      24 6935 bytes     3.081352000         0.1025
192.168.1.16:45756         <-> 8.138.11.46:30176               10 5496 bytes      14 1439 bytes      24 6935 bytes     3.173174000         9.9898
192.168.1.16:37628         <-> 113.46.128.79:30164             10 5496 bytes      14 1430 bytes      24 6926 bytes     5.127871000         0.1161
192.168.1.16:37634         <-> 113.46.128.79:30164             10 5496 bytes      14 1430 bytes      24 6926 bytes     5.230617000         0.1181
192.168.1.16:39806         <-> 8.134.150.230:30164             10 5496 bytes      14 1430 bytes      24 6926 bytes     5.334477000         0.0931
192.168.1.16:37648         <-> 113.46.128.79:30164             10 5496 bytes      14 1430 bytes      24 6926 bytes     5.419545000         9.7994
192.168.1.16:44982         <-> 43.139.233.86:30139             10 5493 bytes      14 1431 bytes      24 6924 bytes     6.261166000         0.1202
192.168.1.16:44998         <-> 43.139.233.86:30139             10 5493 bytes      14 1431 bytes      24 6924 bytes     6.367004000         0.1345
192.168.1.16:48416         <-> 114.132.204.167:30139           10 5493 bytes      14 1431 bytes      24 6924 bytes     6.487740000         0.1081
192.168.1.16:43094         <-> 8.138.207.84:30145              10 5496 bytes      14 1435 bytes      24 6931 bytes     7.298199000         0.3001
192.168.1.16:43096         <-> 8.138.207.84:30145              10 5496 bytes      14 1435 bytes      24 6931 bytes     7.332332000         0.2702
192.168.1.16:37278         <-> 113.45.75.182:30145             10 5496 bytes      14 1434 bytes      24 6930 bytes     7.589904000         0.1249
192.168.1.16:37292         <-> 113.45.75.182:30145             10 5496 bytes      14 1434 bytes      24 6930 bytes     7.702207000         9.9914
192.168.1.16:44116         <-> 110.41.59.54:30146              10 5493 bytes      14 1430 bytes      24 6923 bytes     8.837541000         0.0897
192.168.1.16:49532         <-> 193.112.105.63:30160            10 5496 bytes      14 1435 bytes      24 6931 bytes     9.719452000         0.1001
192.168.1.16:37836         <-> 8.163.38.119:30138              10 5493 bytes      14 1430 bytes      24 6923 bytes    10.914170000         0.0970
192.168.1.16:43320         <-> 8.148.243.225:30138             10 5493 bytes      14 1430 bytes      24 6923 bytes    11.000335000         0.1166
192.168.1.16:43326         <-> 8.148.243.225:30138             10 5493 bytes      14 1430 bytes      24 6923 bytes    11.108346000        10.0242
192.168.1.16:42024         <-> 8.134.111.16:30122              10 5493 bytes      14 1434 bytes      24 6927 bytes    12.154572000         0.1540
192.168.1.16:40632         <-> 175.178.252.224:30176           10 5496 bytes      14 1430 bytes      24 6926 bytes    13.151458000         0.1212
192.168.1.16:46304         <-> 8.138.11.46:30176               10 5496 bytes      14 1439 bytes      24 6935 bytes    13.259922000         0.1098
192.168.1.16:46310         <-> 8.138.11.46:30176               10 5496 bytes      14 1439 bytes      24 6935 bytes    13.359471000         9.9860
192.168.1.16:40352         <-> 8.134.150.230:30164             10 5496 bytes      14 1430 bytes      24 6926 bytes    15.207845000         0.1062
192.168.1.16:40360         <-> 8.134.150.230:30164             10 5496 bytes      14 1430 bytes      24 6926 bytes    15.305448000         0.0994
192.168.1.16:38206         <-> 113.46.128.79:30164             10 5496 bytes      14 1430 bytes      24 6926 bytes    15.395946000         0.1335
192.168.1.16:40372         <-> 8.134.150.230:30164             10 5496 bytes      14 1430 bytes      24 6926 bytes    15.517640000         9.7736
192.168.1.16:48908         <-> 114.132.204.167:30139           10 5493 bytes      14 1431 bytes      24 6924 bytes    16.344446000         0.3011
192.168.1.16:45536         <-> 43.139.233.86:30139             10 5493 bytes      14 1431 bytes      24 6924 bytes    16.770004000         0.1339
192.168.1.16:48930         <-> 114.132.204.167:30139           10 5493 bytes      14 1431 bytes      24 6924 bytes    16.892254000         9.8666
192.168.1.16:43524         <-> 8.138.207.84:30145              10 5496 bytes      14 1435 bytes      24 6931 bytes    17.681193000         0.1215
192.168.1.16:37704         <-> 113.45.75.182:30145             10 5496 bytes      14 1434 bytes      24 6930 bytes    17.790799000         0.0972
192.168.1.16:37710         <-> 113.45.75.182:30145             10 5496 bytes      14 1434 bytes      24 6930 bytes    17.877397000         0.1817
192.168.1.16:44762         <-> 8.163.70.125:30146              10 5493 bytes      14 1439 bytes      24 6932 bytes    18.980408000         0.0968
192.168.1.16:37004         <-> 193.112.105.63:30160            10 5496 bytes      14 1435 bytes      24 6931 bytes    19.902935000         0.0887
192.168.1.16:48718         <-> 8.138.203.45:30160              10 5496 bytes      14 1435 bytes      24 6931 bytes    19.981519000         0.0932
192.168.1.16:38310         <-> 8.163.38.119:30138              10 5493 bytes      14 1430 bytes      24 6923 bytes    21.120580000         0.1048
192.168.1.16:42492         <-> 8.134.111.16:30122              10 5493 bytes      14 1434 bytes      24 6927 bytes    22.214670000         0.1114
192.168.1.16:42498         <-> 8.134.111.16:30122              10 5493 bytes      14 1434 bytes      24 6927 bytes    22.316139000         0.0944
192.168.1.16:42552         <-> 8.134.111.16:30122              10 5493 bytes      14 1434 bytes      24 6927 bytes    22.479278000         9.8230
192.168.1.16:41154         <-> 175.178.252.224:30176           10 5496 bytes      14 1430 bytes      24 6926 bytes    23.338160000         0.1011
192.168.1.16:38752         <-> 113.46.128.79:30164             10 5496 bytes      14 1430 bytes      24 6926 bytes    25.283315000         0.1183
192.168.1.16:38758         <-> 113.46.128.79:30164             10 5496 bytes      14 1430 bytes      24 6926 bytes    25.392434000         0.1218
192.168.1.16:40928         <-> 8.134.150.230:30164             10 5496 bytes      14 1430 bytes      24 6926 bytes    25.503026000         0.0944
192.168.1.16:46088         <-> 43.139.233.86:30139             10 5493 bytes      14 1431 bytes      24 6924 bytes    26.747469000         0.2377
192.168.1.16:46090         <-> 43.139.233.86:30139             11 5577 bytes      13 1371 bytes      24 6948 bytes    26.784491000         0.1990
192.168.1.16:44068         <-> 8.138.207.84:30145              10 5496 bytes      14 1435 bytes      24 6931 bytes    27.197707000         0.7805
192.168.1.16:38304         <-> 113.45.75.182:30145             10 5496 bytes      14 1434 bytes      24 6930 bytes    27.969158000         0.0869
192.168.1.16:45176         <-> 110.41.59.54:30146              10 5493 bytes      14 1430 bytes      24 6923 bytes    29.187386000         0.1074
192.168.1.16:45364         <-> 8.163.70.125:30146              10 5493 bytes      14 1439 bytes      24 6932 bytes    29.279565000         0.0907
192.168.1.16:37610         <-> 193.112.105.63:30160            10 5496 bytes      14 1435 bytes      24 6931 bytes    30.143762000         0.1216
192.168.1.16:49328         <-> 8.138.203.45:30160              10 5496 bytes      14 1435 bytes      24 6931 bytes    30.253697000         0.0898
192.168.1.16:38930         <-> 8.163.38.119:30138              10 5493 bytes      14 1430 bytes      24 6923 bytes    31.360757000         0.0857
192.168.1.16:44414         <-> 8.148.243.225:30138             10 5493 bytes      14 1430 bytes      24 6923 bytes    31.435706000         0.1061
192.168.1.16:44420         <-> 8.148.243.225:30138             10 5493 bytes      14 1430 bytes      24 6923 bytes    31.531182000        10.0271
192.168.1.16:46274         <-> 42.193.229.107:30122            10 5493 bytes      14 1435 bytes      24 6928 bytes    32.296184000         0.1088
192.168.1.16:46282         <-> 42.193.229.107:30122            10 5493 bytes      14 1435 bytes      24 6928 bytes    32.393784000         0.1318
192.168.1.16:43120         <-> 8.134.111.16:30122              10 5493 bytes      14 1434 bytes      24 6927 bytes    32.514095000         0.1019
192.168.1.16:46296         <-> 42.193.229.107:30122            10 5493 bytes      14 1435 bytes      24 6928 bytes    32.606058000         9.7757
192.168.1.16:41764         <-> 175.178.252.224:30176           10 5496 bytes      14 1430 bytes      24 6926 bytes    33.581293000         9.1719
192.168.1.16:41766         <-> 175.178.252.224:30176           10 5496 bytes      14 1430 bytes      24 6926 bytes    33.616747000         9.1397
192.168.1.16:41456         <-> 8.134.150.230:30164             10 5496 bytes      14 1430 bytes      24 6926 bytes    35.371297000         0.2802
192.168.1.16:41458         <-> 8.134.150.230:30164             10 5496 bytes      14 1430 bytes      24 6926 bytes    35.405371000         0.2490
192.168.1.16:37110         <-> 114.132.204.167:30139           10 5493 bytes      14 1431 bytes      24 6924 bytes    37.175848000         0.0980
192.168.1.16:38890         <-> 113.45.75.182:30145             10 5496 bytes      14 1434 bytes      24 6930 bytes    38.153062000         0.1248
192.168.1.16:45768         <-> 110.41.59.54:30146              10 5493 bytes      14 1430 bytes      24 6923 bytes    39.391090000         0.0930
192.168.1.16:45950         <-> 8.163.70.125:30146              10 5493 bytes      14 1439 bytes      24 6932 bytes    39.472164000         0.0962
192.168.1.16:49890         <-> 8.138.203.45:30160              10 5496 bytes      14 1435 bytes      24 6931 bytes    40.124483000         0.0937
192.168.1.16:49892         <-> 8.138.203.45:30160              11 5556 bytes      13 1399 bytes      24 6955 bytes    40.159296000        10.0343
192.168.1.16:49896         <-> 8.138.203.45:30160              10 5496 bytes      14 1435 bytes      24 6931 bytes    40.208839000         0.1980
192.168.1.16:49898         <-> 8.138.203.45:30160              10 5496 bytes      14 1435 bytes      24 6931 bytes    40.241210000         0.1667
192.168.1.16:43634         <-> 8.134.111.16:30122              10 5493 bytes      14 1434 bytes      24 6927 bytes    42.373198000         0.0924
192.168.1.16:43640         <-> 8.134.111.16:30122              10 5493 bytes      14 1434 bytes      24 6927 bytes    42.457054000         0.2469
192.168.1.16:43642         <-> 8.134.111.16:30122              10 5493 bytes      14 1434 bytes      24 6927 bytes    42.491531000         0.2113
192.168.1.16:42240         <-> 175.178.252.224:30176           10 5496 bytes      14 1430 bytes      24 6926 bytes    42.743983000         0.1195
192.168.1.16:47916         <-> 8.138.11.46:30176               10 5496 bytes      14 1439 bytes      24 6935 bytes    42.850579000         9.9178
192.168.1.16:41966         <-> 8.134.150.230:30164             10 5496 bytes      14 1430 bytes      24 6926 bytes    45.732448000         0.1428
192.168.1.16:41968         <-> 8.134.150.230:30164             10 5496 bytes      14 1430 bytes      24 6926 bytes    45.758109000         0.1337
192.168.1.16:39808         <-> 113.46.128.79:30164             10 5496 bytes      14 1430 bytes      24 6926 bytes    45.868845000         0.1019
192.168.1.16:47154         <-> 43.139.233.86:30139             10 5493 bytes      14 1431 bytes      24 6924 bytes    47.344110000         8.6875
192.168.1.16:45122         <-> 8.138.207.84:30145              10 5496 bytes      14 1435 bytes      24 6931 bytes    48.240873000         0.0873
192.168.1.16:46368         <-> 8.163.70.125:30146              10 5493 bytes      14 1439 bytes      24 6932 bytes    49.760553000         9.9870
192.168.1.16:37260         <-> 8.138.203.45:30160              10 5496 bytes      14 1435 bytes      24 6931 bytes    50.254692000         0.2454
192.168.1.16:38584         <-> 193.112.105.63:30160            10 5496 bytes      14 1435 bytes      24 6931 bytes    50.483787000         9.8604
192.168.1.16:45354         <-> 8.148.243.225:30138             10 5493 bytes      14 1430 bytes      24 6923 bytes    51.828012000         0.1001
192.168.1.16:44050         <-> 8.134.111.16:30122              10 5493 bytes      14 1434 bytes      24 6927 bytes    52.531387000         0.2544
192.168.1.16:44052         <-> 8.134.111.16:30122              10 5493 bytes      14 1434 bytes      24 6927 bytes    52.575789000         0.2101
192.168.1.16:47242         <-> 42.193.229.107:30122            10 5493 bytes      14 1435 bytes      24 6928 bytes    52.778672000         9.7411
192.168.1.16:42662         <-> 175.178.252.224:30176           10 5496 bytes      14 1430 bytes      24 6926 bytes    52.870310000         0.0964
192.168.1.16:48330         <-> 8.138.11.46:30176               10 5496 bytes      14 1439 bytes      24 6935 bytes    52.954979000         0.0894
192.168.1.16:37956         <-> 114.132.204.167:30139           10 5493 bytes      14 1431 bytes      24 6924 bytes    56.021130000         0.1191
192.168.1.16:40284         <-> 113.46.128.79:30164             10 5496 bytes      14 1430 bytes      24 6926 bytes    56.078036000         0.1241
192.168.1.16:37968         <-> 114.132.204.167:30139           10 5493 bytes      14 1431 bytes      24 6924 bytes    56.128881000         1.3159
192.168.1.16:37972         <-> 114.132.204.167:30139           10 5493 bytes      14 1431 bytes      24 6924 bytes    56.170524000         1.2729
192.168.1.16:40300         <-> 113.46.128.79:30164             10 5496 bytes      14 1430 bytes      24 6926 bytes    56.190483000         9.9913
192.168.1.16:47670         <-> 43.139.233.86:30139             10 5493 bytes      14 1431 bytes      24 6924 bytes    57.433207000         8.6848
192.168.1.16:45644         <-> 8.138.207.84:30145              10 5496 bytes      14 1435 bytes      24 6931 bytes    58.410500000         0.1114
192.168.1.16:39824         <-> 113.45.75.182:30145             10 5496 bytes      14 1434 bytes      24 6930 bytes    58.511373000         0.1063
192.168.1.16:46696         <-> 110.41.59.54:30146              10 5493 bytes      14 1430 bytes      24 6923 bytes    59.738617000         0.1077
192.168.1.16:46878         <-> 8.163.70.125:30146              10 5493 bytes      14 1439 bytes      24 6932 bytes    59.837060000         0.1069
192.168.1.16:46884         <-> 8.163.70.125:30146              10 5493 bytes      14 1439 bytes      24 6932 bytes    59.935243000         9.9881
192.168.1.16:37770         <-> 8.138.203.45:30160              10 5496 bytes      14 1435 bytes      24 6931 bytes    60.335788000         0.1047
192.168.1.16:37784         <-> 8.138.203.45:30160              10 5496 bytes      14 1435 bytes      24 6931 bytes    60.428569000         0.1619
192.168.1.16:37786         <-> 8.138.203.45:30160              10 5496 bytes      14 1435 bytes      24 6931 bytes    60.465039000         0.1251
192.168.1.16:39092         <-> 193.112.105.63:30160            10 5496 bytes      14 1435 bytes      24 6931 bytes    60.580880000         9.8379
192.168.1.16:45826         <-> 8.148.243.225:30138             10 5493 bytes      14 1430 bytes      24 6923 bytes    62.008158000         0.1189
192.168.1.16:45832         <-> 8.148.243.225:30138             10 5493 bytes      14 1430 bytes      24 6923 bytes    62.115738000        10.0319
192.168.1.16:44524         <-> 8.134.111.16:30122              10 5493 bytes      14 1434 bytes      24 6927 bytes    62.599907000         0.2704
192.168.1.16:48784         <-> 8.138.11.46:30176               10 5496 bytes      14 1439 bytes      24 6935 bytes    62.840527000         0.1089
192.168.1.16:47712         <-> 42.193.229.107:30122            10 5493 bytes      14 1435 bytes      24 6928 bytes    62.864175000         9.8130
192.168.1.16:48794         <-> 8.138.11.46:30176               10 5496 bytes      14 1439 bytes      24 6935 bytes    62.941206000         0.0909
192.168.1.16:43136         <-> 175.178.252.224:30176           10 5496 bytes      14 1430 bytes      24 6926 bytes    63.023735000         0.0834
